"","concentrations","Data","Model"
"1",0,0.6997580987,102.143637953114
"2",1,1.0839562282,102.657327490033
"3",10,22.4409891792,113.222064751423
"4",20,77.2469324836,129.887737308933
"5",100,428.5772589231,318.691873991784
"6",200,711.0436862607,574.653724956083
"7",500,1208.3718634344,1146.13900005818
"8",1000,1329.617243952,1602.49212647375
