concentrations,biosensor,control_hip,hip,coc,benzal,control_benzal,control_coc,hip_from_adder,benzal_from_adder
0,52.7539601328,10.4203757894,5.9826256491,1.5190251086,24.7400304116,0.8770598724,0.9645389009,31.8035448676471,31.8035448676471
1,26.1702281771,9.2304744712,5.9312942152,0.8906810768,37.4052051799,1.4296214461,1.281066006,40.5868829519225,30.2661532854755
10,15.8185440365,9.7944073754,20.1818101184,4.6442040183,122.2294645186,0.7319544682,0.9322229645,21.1438740024247,12.3928421801413
20,52.0780694455,10.3963862585,59.4466438616,13.8992224112,41.3862220649,0.9171978674,0.5176266701,42.5274651250259,42.9703653591844
100,104.5505457017,11.4423258528,136.9077301452,131.4048713356,277.1314712621,1.9691102099,1.5307209997,161.723302724616,129.355538680782
200,76.2754133319,10.2864266067,337.672217214,98.9663556741,412.5669701648,7.5095352341,1.4502112229,0,0
500,116.8234132929,13.43539212,632.4424904719,175.4309668209,29.8360300798,22.4070466474,1.6475218734,271.386037609134,290.908905388336
1000,8.7575464247,14.1490201878,555.3748614979,76.5407169443,4.1347717465,26.7230000462,4.4808855344,236.469095679613,280.949430882284
