concentrations,biosensor,control_hip,hip,coc,benzal,control_benzal,control_coc,hip_from_adder,benzal_from_adder
0,137.1252946007,10.4203757894,33.8345152895,0.6997580987,68.1851806072,2.8734256561,2.5785230392,52.2021998611,52.2021998611
1,152.4295312687,9.2304744712,36.7621700833,1.0839562282,100.961808902,3.8402835908,3.7957962421,-10.5533441795,-10.1579859846
10,196.3032762297,9.7944073754,178.6824607096,22.4409891792,303.4843484039,4.3010726935,5.2478153983,43.5847577262,43.8329298671
20,370.6038384431,10.3963862585,392.1922095527,77.2469324836,453.409018773,4.1072552543,5.2594973452,97.85172854,113.6951136251
100,1340.7489271913,11.4423258528,1170.9035803167,428.5772589231,1167.7179482597,22.1786402763,5.9672146714,449.751665066,398.2543015443
200,1974.0031735402,10.2864266067,1595.2887697654,711.0436862607,1436.2679167392,47.2332194859,5.3961513375,600,600
500,2401.9615191121,13.43539212,2364.5031757069,1208.3718634344,1970.0664543892,157.5872859404,9.1275922301,729.370298708,785.8067802907
1000,2702.1374361534,14.1490201878,2691.2495647676,1329.617243952,2103.4309668504,433.0742698061,22.8056437149,777.7481401304,802.4546221742
