biphenyl,biphenyl_enz,biphenyl_enz_biphenyl
0,0.1,0.012073615
10,0.1,0.012570115
100,0.1,0.020579391
1000,0.1,0.022686656
0,0.3,0.00544404
10,0.3,0.009468917
100,0.3,0.019028931
1000,0.3,0.006219084
0,1,0.006878273
10,1,0.01676262
100,1,0.3580844
1000,1,0.087018816
0,3,0.021417331
10,3,0.034774853
100,3,0.155986155
1000,3,0.729156613
0,10,0.009572477
10,10,0.045202652
100,10,0.305068331
1000,10,0.469100225
