hip,hipo,hipo_hip
0,0.1,0.0081824421
10,0.1,0.657762762
100,0.1,2.5726301712
1000,0.1,3.4075911946
0,0.3,0.0081120555
10,0.3,1.3414101955
100,0.3,3.2808425276
1000,0.3,3.8035334072
0,1,0.0033609601
10,1,2.5422407574
100,1,3.6859525946
1000,1,4.3386475215
0,3,0.0084815851
10,3,2.495152123
100,3,4.111985078
1000,3,4.5538193528
0,10,0.0072146263
10,10,2.4906297841
100,10,4.0035193299
1000,10,4.5330904996
