benzamid,benzamid_enz,benzamid_enz_benzamid
0,0.1,0.04220047
10,0.1,1.419677559
100,0.1,2.229163668
1000,0.1,2.180533564
0,0.3,0.040713018
10,0.3,2.053524303
100,0.3,3.074444604
1000,0.3,3.026918094
0,1,0.037858068
10,1,2.477904131
100,1,3.659037474
1000,1,3.007725157
0,3,0.037402236
10,3,2.517969387
100,3,3.655966604
1000,3,3.284967132
0,10,0.033635622
10,10,1.928602274
100,10,3.614054028
1000,10,2.920349311
