coc,cocE,coce_coc
0,0.1,0.0033145755
10,0.1,0.0562326289
100,0.1,0.2993573024
1000,0.1,0.2949757654
0,0.3,0.0019992923
10,0.3,0.1789539892
100,0.3,0.120900858
1000,0.3,0.1224813086
0,1,0.0056233067
10,1,0.0707444208
100,1,0.0356782084
1000,1,0.0348983221
0,3,0.001175688
10,3,0.1579598887
100,3,0.3973505068
1000,3,0.0398568076
0,10,0.0033563505
10,10,0.0614677015
100,10,0.1810583607
1000,10,0.2372105781
